ROUTE,ARR_DELAY
MEM → FLL,43.09090909090909
BNA → PGD,35.75806451612903
ORF → FLL,33.721311475409834
PSC → LAS,32.5
PNS → MCO,31.21311475409836
SRQ → CVG,30.75
ASE → IAH,30.53170731707317
EYW → LGA,30.03669724770642
SNA → PVU,29.615384615384617
HOU → BOS,29.273972602739725
