FL_DATE,AIRLINE,AIRLINE_DOT,AIRLINE_CODE,DOT_CODE,FL_NUMBER,ORIGIN,ORIGIN_CITY,DEST,DEST_CITY,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,CRS_ELAPSED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,DELAY_DUE_CARRIER,DELAY_DUE_WEATHER,DELAY_DUE_NAS,DELAY_DUE_SECURITY,DELAY_DUE_LATE_AIRCRAFT
8/14/2019,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,1599,SNA,"Santa Ana, CA",DFW,"Dallas/Fort Worth, TX",1424,1429,5,10,1439,1907,5,1934,1912,-22,0,,0,190,163,148,1205,,,,,
7/4/2023,Alaska Airlines Inc.,Alaska Airlines Inc.: AS,AS,19930,707,LAS,"Las Vegas, NV",LAX,"Los Angeles, CA",1945,1938,-7,17,1955,2038,36,2102,2114,12,0,,0,77,96,43,236,,,,,
12/10/2022,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790,738,MSP,"Minneapolis, MN",STL,"St. Louis, MO",728,739,11,27,806,915,6,916,921,5,0,,0,108,102,69,448,,,,,
4/9/2020,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,2587,DFW,"Dallas/Fort Worth, TX",ORF,"Norfolk, VA",2030,2014,-16,12,2026,2331,5,26,2336,-50,0,,0,176,142,125,1212,,,,,
12/27/2019,SkyWest Airlines Inc.,SkyWest Airlines Inc.: OO,OO,20304,3066,DFW,"Dallas/Fort Worth, TX",FSM,"Fort Smith, AR",1639,1635,-4,16,1651,1731,4,1746,1735,-11,0,,0,67,60,40,227,,,,,
12/24/2019,SkyWest Airlines Inc.,SkyWest Airlines Inc.: OO,OO,20304,5082,MKG,"Muskegon, MI",ORD,"Chicago, IL",550,544,-6,41,625,553,8,607,601,-6,0,,0,77,77,28,119,,,,,
7/15/2020,SkyWest Airlines Inc.,SkyWest Airlines Inc.: OO,OO,20304,4262,MSP,"Minneapolis, MN",BRD,"Brainerd, MN",1303,1300,-3,14,1314,1340,3,1350,1343,-7,0,,0,47,43,26,114,,,,,
3/23/2020,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790,2531,SLC,"Salt Lake City, UT",DTW,"Detroit, MI",2355,2347,-8,10,2357,446,7,520,453,-27,0,,0,205,186,169,1481,,,,,
6/15/2020,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,2439,SFO,"San Francisco, CA",EWR,"Newark, NJ",840,835,-5,16,851,1632,6,1647,1638,-9,0,,0,307,303,281,2565,,,,,
3/1/2019,Envoy Air,Envoy Air: MQ,MQ,20398,3401,MLI,"Moline, IL",ORD,"Chicago, IL",608,556,-12,29,625,700,38,720,738,18,0,,0,72,102,35,139,0,0,18,0,0
2/14/2023,Republic Airline,Republic Airline: YX,YX,20452,3464,ORD,"Chicago, IL",PIT,"Pittsburgh, PA",2105,2104,-1,18,2122,2319,5,2335,2324,-11,0,,0,90,80,57,413,,,,,
4/28/2019,Alaska Airlines Inc.,Alaska Airlines Inc.: AS,AS,19930,62,ANC,"Anchorage, AK",JNU,"Juneau, AK",805,802,-3,10,812,924,5,940,929,-11,0,,0,95,87,72,571,,,,,
8/28/2019,SkyWest Airlines Inc.,SkyWest Airlines Inc.: OO,OO,20304,3257,DFW,"Dallas/Fort Worth, TX",ROW,"Roswell, NM",900,855,-5,26,921,923,5,948,928,-20,0,,0,108,93,62,435,,,,,
12/13/2019,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790,499,DTW,"Detroit, MI",CLT,"Charlotte, NC",700,656,-4,30,726,856,7,904,903,-1,0,,0,124,127,90,500,,,,,
